"","eventID","occurrenceID","recordedBy","measurementType","measurementValue","measurementUnit"
"1","3_1929-12-01","3_1929-12-01_A55","Edgar Anderson","sepal length",6.5,"cm"
"2","3_1929-12-01","3_1929-12-01_A55","Edgar Anderson","sepal width",2.8,"cm"
"3","3_1929-12-01","3_1929-12-01_A55","Edgar Anderson","petal length",4.6,"cm"
"4","3_1929-12-01","3_1929-12-01_A55","Edgar Anderson","petal width",1.5,"cm"
"5","3_1929-12-01","3_1929-12-01_A67","Edgar Anderson","sepal length",5.6,"cm"
"6","3_1929-12-01","3_1929-12-01_A67","Edgar Anderson","sepal width",3,"cm"
"7","3_1929-12-01","3_1929-12-01_A67","Edgar Anderson","petal length",4.5,"cm"
"8","3_1929-12-01","3_1929-12-01_A67","Edgar Anderson","petal width",1.5,"cm"
"9","3_1929-12-01","3_1929-12-01_A76","Edgar Anderson","sepal length",6.6,"cm"
"10","3_1929-12-01","3_1929-12-01_A76","Edgar Anderson","sepal width",3,"cm"
"11","3_1929-12-01","3_1929-12-01_A76","Edgar Anderson","petal length",4.4,"cm"
"12","3_1929-12-01","3_1929-12-01_A76","Edgar Anderson","petal width",1.4,"cm"
"13","3_1929-12-01","3_1929-12-01_A79","Edgar Anderson","sepal length",6,"cm"
"14","3_1929-12-01","3_1929-12-01_A79","Edgar Anderson","sepal width",2.9,"cm"
"15","3_1929-12-01","3_1929-12-01_A79","Edgar Anderson","petal length",4.5,"cm"
"16","3_1929-12-01","3_1929-12-01_A79","Edgar Anderson","petal width",1.5,"cm"
"17","3_1929-12-01","3_1929-12-01_A91","Edgar Anderson","sepal length",5.5,"cm"
"18","3_1929-12-01","3_1929-12-01_A91","Edgar Anderson","sepal width",2.6,"cm"
"19","3_1929-12-01","3_1929-12-01_A91","Edgar Anderson","petal length",4.4,"cm"
"20","3_1929-12-01","3_1929-12-01_A91","Edgar Anderson","petal width",1.2,"cm"
"21","3_1929-12-01","3_1929-12-01_A106","Edgar Anderson","sepal length",7.6,"cm"
"22","3_1929-12-01","3_1929-12-01_A106","Edgar Anderson","sepal width",3,"cm"
"23","3_1929-12-01","3_1929-12-01_A106","Edgar Anderson","petal length",6.6,"cm"
"24","3_1929-12-01","3_1929-12-01_A106","Edgar Anderson","petal width",2.1,"cm"
"25","3_1929-12-01","3_1929-12-01_A121","Edgar Anderson","sepal length",6.9,"cm"
"26","3_1929-12-01","3_1929-12-01_A121","Edgar Anderson","sepal width",3.2,"cm"
"27","3_1929-12-01","3_1929-12-01_A121","Edgar Anderson","petal length",5.7,"cm"
"28","3_1929-12-01","3_1929-12-01_A121","Edgar Anderson","petal width",2.3,"cm"
"29","3_1929-12-01","3_1929-12-01_A130","Edgar Anderson","sepal length",7.2,"cm"
"30","3_1929-12-01","3_1929-12-01_A130","Edgar Anderson","sepal width",3,"cm"
"31","3_1929-12-01","3_1929-12-01_A130","Edgar Anderson","petal length",5.8,"cm"
"32","3_1929-12-01","3_1929-12-01_A130","Edgar Anderson","petal width",1.6,"cm"
"33","3_1929-12-01","3_1929-12-01_A43","Edgar Anderson","sepal length",4.4,"cm"
"34","3_1929-12-01","3_1929-12-01_A43","Edgar Anderson","sepal width",3.2,"cm"
"35","3_1929-12-01","3_1929-12-01_A43","Edgar Anderson","petal length",1.3,"cm"
"36","3_1929-12-01","3_1929-12-01_A43","Edgar Anderson","petal width",0.2,"cm"
"37","3_1929-12-01","3_1929-12-01_A124","Edgar Anderson","sepal length",6.3,"cm"
"38","3_1929-12-01","3_1929-12-01_A124","Edgar Anderson","sepal width",2.7,"cm"
"39","3_1929-12-01","3_1929-12-01_A124","Edgar Anderson","petal length",4.9,"cm"
"40","3_1929-12-01","3_1929-12-01_A124","Edgar Anderson","petal width",1.8,"cm"
"41","3_1929-12-01","3_1929-12-01_A25","Edgar Anderson","sepal length",4.8,"cm"
"42","3_1929-12-01","3_1929-12-01_A25","Edgar Anderson","sepal width",3.4,"cm"
"43","3_1929-12-01","3_1929-12-01_A25","Edgar Anderson","petal length",1.9,"cm"
"44","3_1929-12-01","3_1929-12-01_A25","Edgar Anderson","petal width",0.2,"cm"
"45","3_1929-12-01","3_1929-12-01_A34","Edgar Anderson","sepal length",5.5,"cm"
"46","3_1929-12-01","3_1929-12-01_A34","Edgar Anderson","sepal width",4.2,"cm"
"47","3_1929-12-01","3_1929-12-01_A34","Edgar Anderson","petal length",1.4,"cm"
"48","3_1929-12-01","3_1929-12-01_A34","Edgar Anderson","petal width",0.2,"cm"
"49","3_1929-12-01","3_1929-12-01_A49","Edgar Anderson","sepal length",5.3,"cm"
"50","3_1929-12-01","3_1929-12-01_A49","Edgar Anderson","sepal width",3.7,"cm"
"51","3_1929-12-01","3_1929-12-01_A49","Edgar Anderson","petal length",1.5,"cm"
"52","3_1929-12-01","3_1929-12-01_A49","Edgar Anderson","petal width",0.2,"cm"
"53","3_1929-12-01","3_1929-12-01_A4","Edgar Anderson","sepal length",4.6,"cm"
"54","3_1929-12-01","3_1929-12-01_A4","Edgar Anderson","sepal width",3.1,"cm"
"55","3_1929-12-01","3_1929-12-01_A4","Edgar Anderson","petal length",1.5,"cm"
"56","3_1929-12-01","3_1929-12-01_A4","Edgar Anderson","petal width",0.2,"cm"
"57","3_1929-12-01","3_1929-12-01_A148","Edgar Anderson","sepal length",6.5,"cm"
"58","3_1929-12-01","3_1929-12-01_A148","Edgar Anderson","sepal width",3,"cm"
"59","3_1929-12-01","3_1929-12-01_A148","Edgar Anderson","petal length",5.2,"cm"
"60","3_1929-12-01","3_1929-12-01_A148","Edgar Anderson","petal width",2,"cm"
"61","3_1929-12-01","3_1929-12-01_A31","Edgar Anderson","sepal length",4.8,"cm"
"62","3_1929-12-01","3_1929-12-01_A31","Edgar Anderson","sepal width",3.1,"cm"
"63","3_1929-12-01","3_1929-12-01_A31","Edgar Anderson","petal length",1.6,"cm"
"64","3_1929-12-01","3_1929-12-01_A31","Edgar Anderson","petal width",0.2,"cm"
"65","3_1929-12-01","3_1929-12-01_A7","Edgar Anderson","sepal length",4.6,"cm"
"66","3_1929-12-01","3_1929-12-01_A7","Edgar Anderson","sepal width",3.4,"cm"
"67","3_1929-12-01","3_1929-12-01_A7","Edgar Anderson","petal length",1.4,"cm"
"68","3_1929-12-01","3_1929-12-01_A7","Edgar Anderson","petal width",0.3,"cm"
"69","3_1929-12-01","3_1929-12-01_A28","Edgar Anderson","sepal length",5.2,"cm"
"70","3_1929-12-01","3_1929-12-01_A28","Edgar Anderson","sepal width",3.5,"cm"
"71","3_1929-12-01","3_1929-12-01_A28","Edgar Anderson","petal length",1.5,"cm"
"72","3_1929-12-01","3_1929-12-01_A28","Edgar Anderson","petal width",0.2,"cm"
"73","3_1929-12-01","3_1929-12-01_A73","Edgar Anderson","sepal length",6.3,"cm"
"74","3_1929-12-01","3_1929-12-01_A73","Edgar Anderson","sepal width",2.5,"cm"
"75","3_1929-12-01","3_1929-12-01_A73","Edgar Anderson","petal length",4.9,"cm"
"76","3_1929-12-01","3_1929-12-01_A73","Edgar Anderson","petal width",1.5,"cm"
"77","3_1929-12-01","3_1929-12-01_A88","Edgar Anderson","sepal length",6.3,"cm"
"78","3_1929-12-01","3_1929-12-01_A88","Edgar Anderson","sepal width",2.3,"cm"
"79","3_1929-12-01","3_1929-12-01_A88","Edgar Anderson","petal length",4.4,"cm"
"80","3_1929-12-01","3_1929-12-01_A88","Edgar Anderson","petal width",1.3,"cm"
"81","3_1929-12-01","3_1929-12-01_A58","Edgar Anderson","sepal length",4.9,"cm"
"82","3_1929-12-01","3_1929-12-01_A58","Edgar Anderson","sepal width",2.4,"cm"
"83","3_1929-12-01","3_1929-12-01_A58","Edgar Anderson","petal length",3.3,"cm"
"84","3_1929-12-01","3_1929-12-01_A58","Edgar Anderson","petal width",1,"cm"
"85","3_1929-12-01","3_1929-12-01_A118","Edgar Anderson","sepal length",7.7,"cm"
"86","3_1929-12-01","3_1929-12-01_A118","Edgar Anderson","sepal width",3.8,"cm"
"87","3_1929-12-01","3_1929-12-01_A118","Edgar Anderson","petal length",6.7,"cm"
"88","3_1929-12-01","3_1929-12-01_A118","Edgar Anderson","petal width",2.2,"cm"
"89","3_1929-12-01","3_1929-12-01_A46","Edgar Anderson","sepal length",4.8,"cm"
"90","3_1929-12-01","3_1929-12-01_A46","Edgar Anderson","sepal width",3,"cm"
"91","3_1929-12-01","3_1929-12-01_A46","Edgar Anderson","petal length",1.4,"cm"
"92","3_1929-12-01","3_1929-12-01_A46","Edgar Anderson","petal width",0.3,"cm"
"93","3_1929-12-01","3_1929-12-01_A139","Edgar Anderson","sepal length",6,"cm"
"94","3_1929-12-01","3_1929-12-01_A139","Edgar Anderson","sepal width",3,"cm"
"95","3_1929-12-01","3_1929-12-01_A139","Edgar Anderson","petal length",4.8,"cm"
"96","3_1929-12-01","3_1929-12-01_A139","Edgar Anderson","petal width",1.8,"cm"
"97","3_1929-12-01","3_1929-12-01_A142","Edgar Anderson","sepal length",6.9,"cm"
"98","3_1929-12-01","3_1929-12-01_A142","Edgar Anderson","sepal width",3.1,"cm"
"99","3_1929-12-01","3_1929-12-01_A142","Edgar Anderson","petal length",5.1,"cm"
"100","3_1929-12-01","3_1929-12-01_A142","Edgar Anderson","petal width",2.3,"cm"
"101","3_1929-12-01","3_1929-12-01_A37","Edgar Anderson","sepal length",5.5,"cm"
"102","3_1929-12-01","3_1929-12-01_A37","Edgar Anderson","sepal width",3.5,"cm"
"103","3_1929-12-01","3_1929-12-01_A37","Edgar Anderson","petal length",1.3,"cm"
"104","3_1929-12-01","3_1929-12-01_A37","Edgar Anderson","petal width",0.2,"cm"
"105","3_1929-12-01","3_1929-12-01_A97","Edgar Anderson","sepal length",5.7,"cm"
"106","3_1929-12-01","3_1929-12-01_A97","Edgar Anderson","sepal width",2.9,"cm"
"107","3_1929-12-01","3_1929-12-01_A97","Edgar Anderson","petal length",4.2,"cm"
"108","3_1929-12-01","3_1929-12-01_A97","Edgar Anderson","petal width",2.3,"cm"
"109","3_1929-12-01","3_1929-12-01_A16","Edgar Anderson","sepal length",5.7,"cm"
"110","3_1929-12-01","3_1929-12-01_A16","Edgar Anderson","sepal width",4.4,"cm"
"111","3_1929-12-01","3_1929-12-01_A16","Edgar Anderson","petal length",1.5,"cm"
"112","3_1929-12-01","3_1929-12-01_A16","Edgar Anderson","petal width",0.4,"cm"
"113","3_1929-12-01","3_1929-12-01_A70","Edgar Anderson","sepal length",5.6,"cm"
"114","3_1929-12-01","3_1929-12-01_A70","Edgar Anderson","sepal width",2.5,"cm"
"115","3_1929-12-01","3_1929-12-01_A70","Edgar Anderson","petal length",3.9,"cm"
"116","3_1929-12-01","3_1929-12-01_A70","Edgar Anderson","petal width",1.1,"cm"
"117","3_1929-12-01","3_1929-12-01_A103","Edgar Anderson","sepal length",7.1,"cm"
"118","3_1929-12-01","3_1929-12-01_A103","Edgar Anderson","sepal width",3,"cm"
"119","3_1929-12-01","3_1929-12-01_A103","Edgar Anderson","petal length",5.9,"cm"
"120","3_1929-12-01","3_1929-12-01_A103","Edgar Anderson","petal width",2.1,"cm"
"121","3_1929-12-01","3_1929-12-01_A127","Edgar Anderson","sepal length",6.2,"cm"
"122","3_1929-12-01","3_1929-12-01_A127","Edgar Anderson","sepal width",2.8,"cm"
"123","3_1929-12-01","3_1929-12-01_A127","Edgar Anderson","petal length",4.8,"cm"
"124","3_1929-12-01","3_1929-12-01_A127","Edgar Anderson","petal width",1.8,"cm"
"125","3_1929-12-01","3_1929-12-01_A40","Edgar Anderson","sepal length",5.1,"cm"
"126","3_1929-12-01","3_1929-12-01_A40","Edgar Anderson","sepal width",3.4,"cm"
"127","3_1929-12-01","3_1929-12-01_A40","Edgar Anderson","petal length",1.5,"cm"
"128","3_1929-12-01","3_1929-12-01_A40","Edgar Anderson","petal width",0.2,"cm"
"129","3_1929-12-01","3_1929-12-01_A10","Edgar Anderson","sepal length",4.9,"cm"
"130","3_1929-12-01","3_1929-12-01_A10","Edgar Anderson","sepal width",3.1,"cm"
"131","3_1929-12-01","3_1929-12-01_A10","Edgar Anderson","petal length",1.5,"cm"
"132","3_1929-12-01","3_1929-12-01_A10","Edgar Anderson","petal width",0.1,"cm"
"133","3_1929-12-01","3_1929-12-01_A134","Edgar Anderson","sepal length",4.8,"cm"
"134","3_1929-12-01","3_1929-12-01_A134","Edgar Anderson","sepal width",3,"cm"
"135","3_1929-12-01","3_1929-12-01_A134","Edgar Anderson","petal length",1.4,"cm"
"136","3_1929-12-01","3_1929-12-01_A134","Edgar Anderson","petal width",0.1,"cm"
"137","3_1929-12-01","3_1929-12-01_A61","Edgar Anderson","sepal length",5,"cm"
"138","3_1929-12-01","3_1929-12-01_A61","Edgar Anderson","sepal width",2,"cm"
"139","3_1929-12-01","3_1929-12-01_A61","Edgar Anderson","petal length",3.5,"cm"
"140","3_1929-12-01","3_1929-12-01_A61","Edgar Anderson","petal width",1,"cm"
"141","3_1929-12-01","3_1929-12-01_A100","Edgar Anderson","sepal length",5.7,"cm"
"142","3_1929-12-01","3_1929-12-01_A100","Edgar Anderson","sepal width",2.8,"cm"
"143","3_1929-12-01","3_1929-12-01_A100","Edgar Anderson","petal length",4.1,"cm"
"144","3_1929-12-01","3_1929-12-01_A100","Edgar Anderson","petal width",1.3,"cm"
"145","3_1929-12-01","3_1929-12-01_A109","Edgar Anderson","sepal length",6.7,"cm"
"146","3_1929-12-01","3_1929-12-01_A109","Edgar Anderson","sepal width",2.5,"cm"
"147","3_1929-12-01","3_1929-12-01_A109","Edgar Anderson","petal length",5.8,"cm"
"148","3_1929-12-01","3_1929-12-01_A109","Edgar Anderson","petal width",1.8,"cm"
"149","3_1929-12-01","3_1929-12-01_A145","Edgar Anderson","sepal length",6.7,"cm"
"150","3_1929-12-01","3_1929-12-01_A145","Edgar Anderson","sepal width",3.3,"cm"
"151","3_1929-12-01","3_1929-12-01_A145","Edgar Anderson","petal length",5.7,"cm"
"152","3_1929-12-01","3_1929-12-01_A145","Edgar Anderson","petal width",2.5,"cm"
"153","3_1929-12-01","3_1929-12-01_A1","Edgar Anderson","sepal length",5.1,"cm"
"154","3_1929-12-01","3_1929-12-01_A1","Edgar Anderson","sepal width",3.5,"cm"
"155","3_1929-12-01","3_1929-12-01_A1","Edgar Anderson","petal length",1.4,"cm"
"156","3_1929-12-01","3_1929-12-01_A1","Edgar Anderson","petal width",0.2,"cm"
"157","3_1929-12-01","3_1929-12-01_A136","Edgar Anderson","sepal length",7.7,"cm"
"158","3_1929-12-01","3_1929-12-01_A136","Edgar Anderson","sepal width",3,"cm"
"159","3_1929-12-01","3_1929-12-01_A136","Edgar Anderson","petal length",6.1,"cm"
"160","3_1929-12-01","3_1929-12-01_A136","Edgar Anderson","petal width",2.3,"cm"
"161","3_1929-12-01","3_1929-12-01_A82","Edgar Anderson","sepal length",5.5,"cm"
"162","3_1929-12-01","3_1929-12-01_A82","Edgar Anderson","sepal width",2.4,"cm"
"163","3_1929-12-01","3_1929-12-01_A82","Edgar Anderson","petal length",3.7,"cm"
"164","3_1929-12-01","3_1929-12-01_A82","Edgar Anderson","petal width",1,"cm"
"165","3_1929-12-01","3_1929-12-01_A22","Edgar Anderson","sepal length",5.1,"cm"
"166","3_1929-12-01","3_1929-12-01_A22","Edgar Anderson","sepal width",3.7,"cm"
"167","3_1929-12-01","3_1929-12-01_A22","Edgar Anderson","petal length",1.5,"cm"
"168","3_1929-12-01","3_1929-12-01_A22","Edgar Anderson","petal width",0.4,"cm"
"169","3_1929-12-01","3_1929-12-01_A52","Edgar Anderson","sepal length",6.4,"cm"
"170","3_1929-12-01","3_1929-12-01_A52","Edgar Anderson","sepal width",3.2,"cm"
"171","3_1929-12-01","3_1929-12-01_A52","Edgar Anderson","petal length",4.5,"cm"
"172","3_1929-12-01","3_1929-12-01_A52","Edgar Anderson","petal width",1.5,"cm"
"173","3_1929-12-01","3_1929-12-01_A64","Edgar Anderson","sepal length",6.1,"cm"
"174","3_1929-12-01","3_1929-12-01_A64","Edgar Anderson","sepal width",2.9,"cm"
"175","3_1929-12-01","3_1929-12-01_A64","Edgar Anderson","petal length",4.7,"cm"
"176","3_1929-12-01","3_1929-12-01_A64","Edgar Anderson","petal width",1.4,"cm"
"177","3_1929-12-01","3_1929-12-01_A112","Edgar Anderson","sepal length",6.4,"cm"
"178","3_1929-12-01","3_1929-12-01_A112","Edgar Anderson","sepal width",2.7,"cm"
"179","3_1929-12-01","3_1929-12-01_A112","Edgar Anderson","petal length",5.3,"cm"
"180","3_1929-12-01","3_1929-12-01_A112","Edgar Anderson","petal width",1.9,"cm"
"181","2_1930-02-13","2_1930-02-13_A131","Edgar Anderson","sepal length",7.4,"cm"
"182","2_1930-02-13","2_1930-02-13_A131","Edgar Anderson","sepal width",2.8,"cm"
"183","2_1930-02-13","2_1930-02-13_A131","Edgar Anderson","petal length",6.1,"cm"
"184","2_1930-02-13","2_1930-02-13_A131","Edgar Anderson","petal width",1.9,"cm"
"185","2_1930-02-13","2_1930-02-13_A77","Edgar Anderson","sepal length",6.8,"cm"
"186","2_1930-02-13","2_1930-02-13_A77","Edgar Anderson","sepal width",2.8,"cm"
"187","2_1930-02-13","2_1930-02-13_A77","Edgar Anderson","petal length",4.8,"cm"
"188","2_1930-02-13","2_1930-02-13_A77","Edgar Anderson","petal width",1.4,"cm"
"189","2_1930-02-13","2_1930-02-13_A2","Edgar Anderson","sepal length",4.9,"cm"
"190","2_1930-02-13","2_1930-02-13_A2","Edgar Anderson","sepal width",3,"cm"
"191","2_1930-02-13","2_1930-02-13_A2","Edgar Anderson","petal length",1.4,"cm"
"192","2_1930-02-13","2_1930-02-13_A2","Edgar Anderson","petal width",0.2,"cm"
"193","2_1930-02-13","2_1930-02-13_A32","Edgar Anderson","sepal length",5.4,"cm"
"194","2_1930-02-13","2_1930-02-13_A32","Edgar Anderson","sepal width",3.4,"cm"
"195","2_1930-02-13","2_1930-02-13_A32","Edgar Anderson","petal length",1.5,"cm"
"196","2_1930-02-13","2_1930-02-13_A32","Edgar Anderson","petal width",0.4,"cm"
"197","2_1930-02-13","2_1930-02-13_A74","Edgar Anderson","sepal length",6.1,"cm"
"198","2_1930-02-13","2_1930-02-13_A74","Edgar Anderson","sepal width",2.8,"cm"
"199","2_1930-02-13","2_1930-02-13_A74","Edgar Anderson","petal length",4.7,"cm"
"200","2_1930-02-13","2_1930-02-13_A74","Edgar Anderson","petal width",1.2,"cm"
"201","2_1930-02-13","2_1930-02-13_A137","Edgar Anderson","sepal length",6.3,"cm"
"202","2_1930-02-13","2_1930-02-13_A137","Edgar Anderson","sepal width",3.4,"cm"
"203","2_1930-02-13","2_1930-02-13_A137","Edgar Anderson","petal length",5.6,"cm"
"204","2_1930-02-13","2_1930-02-13_A137","Edgar Anderson","petal width",2.4,"cm"
"205","2_1930-02-13","2_1930-02-13_A110","Edgar Anderson","sepal length",7.2,"cm"
"206","2_1930-02-13","2_1930-02-13_A110","Edgar Anderson","sepal width",3.6,"cm"
"207","2_1930-02-13","2_1930-02-13_A110","Edgar Anderson","petal length",6.1,"cm"
"208","2_1930-02-13","2_1930-02-13_A110","Edgar Anderson","petal width",2.5,"cm"
"209","2_1930-02-13","2_1930-02-13_A39","Edgar Anderson","sepal length",5.4,"cm"
"210","2_1930-02-13","2_1930-02-13_A39","Edgar Anderson","sepal width",3.7,"cm"
"211","2_1930-02-13","2_1930-02-13_A39","Edgar Anderson","petal length",1.5,"cm"
"212","2_1930-02-13","2_1930-02-13_A39","Edgar Anderson","petal width",0.2,"cm"
"213","2_1930-02-13","2_1930-02-13_A71","Edgar Anderson","sepal length",5.9,"cm"
"214","2_1930-02-13","2_1930-02-13_A71","Edgar Anderson","sepal width",3.2,"cm"
"215","2_1930-02-13","2_1930-02-13_A71","Edgar Anderson","petal length",4.8,"cm"
"216","2_1930-02-13","2_1930-02-13_A71","Edgar Anderson","petal width",1.8,"cm"
"217","2_1930-02-13","2_1930-02-13_A104","Edgar Anderson","sepal length",6.3,"cm"
"218","2_1930-02-13","2_1930-02-13_A104","Edgar Anderson","sepal width",2.9,"cm"
"219","2_1930-02-13","2_1930-02-13_A104","Edgar Anderson","petal length",5.6,"cm"
"220","2_1930-02-13","2_1930-02-13_A104","Edgar Anderson","petal width",1.8,"cm"
"221","2_1930-02-13","2_1930-02-13_A128","Edgar Anderson","sepal length",6.1,"cm"
"222","2_1930-02-13","2_1930-02-13_A128","Edgar Anderson","sepal width",3,"cm"
"223","2_1930-02-13","2_1930-02-13_A128","Edgar Anderson","petal length",4.9,"cm"
"224","2_1930-02-13","2_1930-02-13_A128","Edgar Anderson","petal width",1.8,"cm"
"225","2_1930-02-13","2_1930-02-13_A143","Edgar Anderson","sepal length",5.8,"cm"
"226","2_1930-02-13","2_1930-02-13_A143","Edgar Anderson","sepal width",2.7,"cm"
"227","2_1930-02-13","2_1930-02-13_A143","Edgar Anderson","petal length",5.1,"cm"
"228","2_1930-02-13","2_1930-02-13_A143","Edgar Anderson","petal width",1.9,"cm"
"229","2_1930-02-13","2_1930-02-13_A8","Edgar Anderson","sepal length",5,"cm"
"230","2_1930-02-13","2_1930-02-13_A8","Edgar Anderson","sepal width",3.4,"cm"
"231","2_1930-02-13","2_1930-02-13_A8","Edgar Anderson","petal length",1.5,"cm"
"232","2_1930-02-13","2_1930-02-13_A8","Edgar Anderson","petal width",0.2,"cm"
"233","2_1930-02-13","2_1930-02-13_A50","Edgar Anderson","sepal length",5,"cm"
"234","2_1930-02-13","2_1930-02-13_A50","Edgar Anderson","sepal width",3.3,"cm"
"235","2_1930-02-13","2_1930-02-13_A50","Edgar Anderson","petal length",1.4,"cm"
"236","2_1930-02-13","2_1930-02-13_A50","Edgar Anderson","petal width",0.2,"cm"
"237","2_1930-02-13","2_1930-02-13_A65","Edgar Anderson","sepal length",5.6,"cm"
"238","2_1930-02-13","2_1930-02-13_A65","Edgar Anderson","sepal width",2.9,"cm"
"239","2_1930-02-13","2_1930-02-13_A65","Edgar Anderson","petal length",3.6,"cm"
"240","2_1930-02-13","2_1930-02-13_A65","Edgar Anderson","petal width",1.3,"cm"
"241","2_1930-02-13","2_1930-02-13_A83","Edgar Anderson","sepal length",5.8,"cm"
"242","2_1930-02-13","2_1930-02-13_A83","Edgar Anderson","sepal width",2.7,"cm"
"243","2_1930-02-13","2_1930-02-13_A83","Edgar Anderson","petal length",3.9,"cm"
"244","2_1930-02-13","2_1930-02-13_A83","Edgar Anderson","petal width",1.2,"cm"
"245","2_1930-02-13","2_1930-02-13_A101","Edgar Anderson","sepal length",6.3,"cm"
"246","2_1930-02-13","2_1930-02-13_A101","Edgar Anderson","sepal width",3.3,"cm"
"247","2_1930-02-13","2_1930-02-13_A101","Edgar Anderson","petal length",6,"cm"
"248","2_1930-02-13","2_1930-02-13_A101","Edgar Anderson","petal width",2.5,"cm"
"249","2_1930-02-13","2_1930-02-13_A119","Edgar Anderson","sepal length",7.7,"cm"
"250","2_1930-02-13","2_1930-02-13_A119","Edgar Anderson","sepal width",2.6,"cm"
"251","2_1930-02-13","2_1930-02-13_A119","Edgar Anderson","petal length",6.9,"cm"
"252","2_1930-02-13","2_1930-02-13_A119","Edgar Anderson","petal width",2.3,"cm"
"253","2_1930-02-13","2_1930-02-13_A14","Edgar Anderson","sepal length",4.3,"cm"
"254","2_1930-02-13","2_1930-02-13_A14","Edgar Anderson","sepal width",3,"cm"
"255","2_1930-02-13","2_1930-02-13_A14","Edgar Anderson","petal length",1.1,"cm"
"256","2_1930-02-13","2_1930-02-13_A14","Edgar Anderson","petal width",0.1,"cm"
"257","2_1930-02-13","2_1930-02-13_A107","Edgar Anderson","sepal length",4.9,"cm"
"258","2_1930-02-13","2_1930-02-13_A107","Edgar Anderson","sepal width",2.5,"cm"
"259","2_1930-02-13","2_1930-02-13_A107","Edgar Anderson","petal length",4.5,"cm"
"260","2_1930-02-13","2_1930-02-13_A107","Edgar Anderson","petal width",1.7,"cm"
"261","2_1930-02-13","2_1930-02-13_A35","Edgar Anderson","sepal length",4.9,"cm"
"262","2_1930-02-13","2_1930-02-13_A35","Edgar Anderson","sepal width",3.1,"cm"
"263","2_1930-02-13","2_1930-02-13_A35","Edgar Anderson","petal length",1.5,"cm"
"264","2_1930-02-13","2_1930-02-13_A35","Edgar Anderson","petal width",0.2,"cm"
"265","2_1930-02-13","2_1930-02-13_A146","Edgar Anderson","sepal length",6.7,"cm"
"266","2_1930-02-13","2_1930-02-13_A146","Edgar Anderson","sepal width",3,"cm"
"267","2_1930-02-13","2_1930-02-13_A146","Edgar Anderson","petal length",5.2,"cm"
"268","2_1930-02-13","2_1930-02-13_A146","Edgar Anderson","petal width",2.3,"cm"
"269","2_1930-02-13","2_1930-02-13_A113","Edgar Anderson","sepal length",6.8,"cm"
