"","eventID","occurrenceID","recordedBy","measurementType","measurementValue","measurementUnit"
"270","2_1930-02-13","2_1930-02-13_A113","Edgar Anderson","sepal width",3,"cm"
"271","2_1930-02-13","2_1930-02-13_A113","Edgar Anderson","petal length",5.5,"cm"
"272","2_1930-02-13","2_1930-02-13_A113","Edgar Anderson","petal width",2.1,"cm"
"273","2_1930-02-13","2_1930-02-13_A92","Edgar Anderson","sepal length",6.1,"cm"
"274","2_1930-02-13","2_1930-02-13_A92","Edgar Anderson","sepal width",3,"cm"
"275","2_1930-02-13","2_1930-02-13_A92","Edgar Anderson","petal length",4.6,"cm"
"276","2_1930-02-13","2_1930-02-13_A92","Edgar Anderson","petal width",1.4,"cm"
"277","2_1930-02-13","2_1930-02-13_A89","Edgar Anderson","sepal length",5.6,"cm"
"278","2_1930-02-13","2_1930-02-13_A89","Edgar Anderson","sepal width",3,"cm"
"279","2_1930-02-13","2_1930-02-13_A89","Edgar Anderson","petal length",4.1,"cm"
"280","2_1930-02-13","2_1930-02-13_A89","Edgar Anderson","petal width",1.3,"cm"
"281","2_1930-02-13","2_1930-02-13_A95","Edgar Anderson","sepal length",5.6,"cm"
"282","2_1930-02-13","2_1930-02-13_A95","Edgar Anderson","sepal width",2.7,"cm"
"283","2_1930-02-13","2_1930-02-13_A95","Edgar Anderson","petal length",4.2,"cm"
"284","2_1930-02-13","2_1930-02-13_A95","Edgar Anderson","petal width",1.3,"cm"
"285","2_1930-02-13","2_1930-02-13_A20","Edgar Anderson","sepal length",5.1,"cm"
"286","2_1930-02-13","2_1930-02-13_A20","Edgar Anderson","sepal width",3.8,"cm"
"287","2_1930-02-13","2_1930-02-13_A20","Edgar Anderson","petal length",1.5,"cm"
"288","2_1930-02-13","2_1930-02-13_A20","Edgar Anderson","petal width",0.3,"cm"
"289","2_1930-02-13","2_1930-02-13_A59","Edgar Anderson","sepal length",6.6,"cm"
"290","2_1930-02-13","2_1930-02-13_A59","Edgar Anderson","sepal width",2.9,"cm"
"291","2_1930-02-13","2_1930-02-13_A59","Edgar Anderson","petal length",4.6,"cm"
"292","2_1930-02-13","2_1930-02-13_A59","Edgar Anderson","petal width",1.3,"cm"
"293","2_1930-02-13","2_1930-02-13_A68","Edgar Anderson","sepal length",5.8,"cm"
"294","2_1930-02-13","2_1930-02-13_A68","Edgar Anderson","sepal width",2.7,"cm"
"295","2_1930-02-13","2_1930-02-13_A68","Edgar Anderson","petal length",4.1,"cm"
"296","2_1930-02-13","2_1930-02-13_A68","Edgar Anderson","petal width",1,"cm"
"297","2_1930-02-13","2_1930-02-13_A86","Edgar Anderson","sepal length",6,"cm"
"298","2_1930-02-13","2_1930-02-13_A86","Edgar Anderson","sepal width",3.4,"cm"
"299","2_1930-02-13","2_1930-02-13_A86","Edgar Anderson","petal length",4.5,"cm"
"300","2_1930-02-13","2_1930-02-13_A86","Edgar Anderson","petal width",1.6,"cm"
"301","2_1930-02-13","2_1930-02-13_A98","Edgar Anderson","sepal length",6.2,"cm"
"302","2_1930-02-13","2_1930-02-13_A98","Edgar Anderson","sepal width",2.9,"cm"
"303","2_1930-02-13","2_1930-02-13_A98","Edgar Anderson","petal length",4.3,"cm"
"304","2_1930-02-13","2_1930-02-13_A98","Edgar Anderson","petal width",1.3,"cm"
"305","2_1930-02-13","2_1930-02-13_A134","Edgar Anderson","sepal length",6.3,"cm"
"306","2_1930-02-13","2_1930-02-13_A134","Edgar Anderson","sepal width",2.8,"cm"
"307","2_1930-02-13","2_1930-02-13_A134","Edgar Anderson","petal length",5.1,"cm"
"308","2_1930-02-13","2_1930-02-13_A134","Edgar Anderson","petal width",1.5,"cm"
"309","2_1930-02-13","2_1930-02-13_A5","Edgar Anderson","sepal length",5,"cm"
"310","2_1930-02-13","2_1930-02-13_A5","Edgar Anderson","sepal width",3.6,"cm"
"311","2_1930-02-13","2_1930-02-13_A5","Edgar Anderson","petal length",1.4,"cm"
"312","2_1930-02-13","2_1930-02-13_A5","Edgar Anderson","petal width",0.2,"cm"
"313","2_1930-02-13","2_1930-02-13_A26","Edgar Anderson","sepal length",5,"cm"
"314","2_1930-02-13","2_1930-02-13_A26","Edgar Anderson","sepal width",3,"cm"
"315","2_1930-02-13","2_1930-02-13_A26","Edgar Anderson","petal length",1.6,"cm"
"316","2_1930-02-13","2_1930-02-13_A26","Edgar Anderson","petal width",0.2,"cm"
"317","2_1930-02-13","2_1930-02-13_A38","Edgar Anderson","sepal length",4.9,"cm"
"318","2_1930-02-13","2_1930-02-13_A38","Edgar Anderson","sepal width",3.6,"cm"
"319","2_1930-02-13","2_1930-02-13_A38","Edgar Anderson","petal length",1.4,"cm"
"320","2_1930-02-13","2_1930-02-13_A38","Edgar Anderson","petal width",0.1,"cm"
"321","2_1930-02-13","2_1930-02-13_A41","Edgar Anderson","sepal length",5,"cm"
"322","2_1930-02-13","2_1930-02-13_A41","Edgar Anderson","sepal width",3.5,"cm"
"323","2_1930-02-13","2_1930-02-13_A41","Edgar Anderson","petal length",1.3,"cm"
"324","2_1930-02-13","2_1930-02-13_A41","Edgar Anderson","petal width",0.3,"cm"
"325","2_1930-02-13","2_1930-02-13_A125","Edgar Anderson","sepal length",6.7,"cm"
"326","2_1930-02-13","2_1930-02-13_A125","Edgar Anderson","sepal width",3.3,"cm"
"327","2_1930-02-13","2_1930-02-13_A125","Edgar Anderson","petal length",5.7,"cm"
"328","2_1930-02-13","2_1930-02-13_A125","Edgar Anderson","petal width",2.1,"cm"
"329","2_1930-02-13","2_1930-02-13_A140","Edgar Anderson","sepal length",6.9,"cm"
"330","2_1930-02-13","2_1930-02-13_A140","Edgar Anderson","sepal width",3.1,"cm"
"331","2_1930-02-13","2_1930-02-13_A140","Edgar Anderson","petal length",5.4,"cm"
"332","2_1930-02-13","2_1930-02-13_A140","Edgar Anderson","petal width",2.1,"cm"
"333","2_1930-02-13","2_1930-02-13_A149","Edgar Anderson","sepal length",6.2,"cm"
"334","2_1930-02-13","2_1930-02-13_A149","Edgar Anderson","sepal width",3.4,"cm"
"335","2_1930-02-13","2_1930-02-13_A149","Edgar Anderson","petal length",5.4,"cm"
"336","2_1930-02-13","2_1930-02-13_A149","Edgar Anderson","petal width",2.3,"cm"
"337","2_1930-02-13","2_1930-02-13_A23","Edgar Anderson","sepal length",4.6,"cm"
"338","2_1930-02-13","2_1930-02-13_A23","Edgar Anderson","sepal width",3.6,"cm"
"339","2_1930-02-13","2_1930-02-13_A23","Edgar Anderson","petal length",1,"cm"
"340","2_1930-02-13","2_1930-02-13_A23","Edgar Anderson","petal width",0.2,"cm"
"341","2_1930-02-13","2_1930-02-13_A47","Edgar Anderson","sepal length",5.1,"cm"
"342","2_1930-02-13","2_1930-02-13_A47","Edgar Anderson","sepal width",3.8,"cm"
"343","2_1930-02-13","2_1930-02-13_A47","Edgar Anderson","petal length",1.6,"cm"
"344","2_1930-02-13","2_1930-02-13_A47","Edgar Anderson","petal width",0.2,"cm"
"345","2_1930-02-13","2_1930-02-13_A80","Edgar Anderson","sepal length",5.7,"cm"
"346","2_1930-02-13","2_1930-02-13_A80","Edgar Anderson","sepal width",2.6,"cm"
"347","2_1930-02-13","2_1930-02-13_A80","Edgar Anderson","petal length",3.5,"cm"
"348","2_1930-02-13","2_1930-02-13_A80","Edgar Anderson","petal width",1,"cm"
"349","2_1930-02-13","2_1930-02-13_A116","Edgar Anderson","sepal length",6.4,"cm"
"350","2_1930-02-13","2_1930-02-13_A116","Edgar Anderson","sepal width",3.2,"cm"
"351","2_1930-02-13","2_1930-02-13_A116","Edgar Anderson","petal length",5.3,"cm"
"352","2_1930-02-13","2_1930-02-13_A116","Edgar Anderson","petal width",2.3,"cm"
"353","2_1930-02-13","2_1930-02-13_A29","Edgar Anderson","sepal length",5.2,"cm"
"354","2_1930-02-13","2_1930-02-13_A29","Edgar Anderson","sepal width",3.4,"cm"
"355","2_1930-02-13","2_1930-02-13_A29","Edgar Anderson","petal length",1.4,"cm"
"356","2_1930-02-13","2_1930-02-13_A29","Edgar Anderson","petal width",0.2,"cm"
"357","2_1930-02-13","2_1930-02-13_A122","Edgar Anderson","sepal length",5.6,"cm"
"358","2_1930-02-13","2_1930-02-13_A122","Edgar Anderson","sepal width",2.8,"cm"
"359","2_1930-02-13","2_1930-02-13_A122","Edgar Anderson","petal length",4.9,"cm"
"360","2_1930-02-13","2_1930-02-13_A122","Edgar Anderson","petal width",2,"cm"
"361","2_1930-02-13","2_1930-02-13_A62","Edgar Anderson","sepal length",5.9,"cm"
"362","2_1930-02-13","2_1930-02-13_A62","Edgar Anderson","sepal width",3,"cm"
"363","2_1930-02-13","2_1930-02-13_A62","Edgar Anderson","petal length",4.2,"cm"
"364","2_1930-02-13","2_1930-02-13_A62","Edgar Anderson","petal width",1.5,"cm"
"365","2_1930-02-13","2_1930-02-13_A17","Edgar Anderson","sepal length",5.4,"cm"
"366","2_1930-02-13","2_1930-02-13_A17","Edgar Anderson","sepal width",3.9,"cm"
"367","2_1930-02-13","2_1930-02-13_A17","Edgar Anderson","petal length",1.3,"cm"
"368","2_1930-02-13","2_1930-02-13_A17","Edgar Anderson","petal width",0.4,"cm"
"369","2_1930-02-13","2_1930-02-13_A53","Edgar Anderson","sepal length",6.9,"cm"
"370","2_1930-02-13","2_1930-02-13_A53","Edgar Anderson","sepal width",3.1,"cm"
"371","2_1930-02-13","2_1930-02-13_A53","Edgar Anderson","petal length",4.9,"cm"
"372","2_1930-02-13","2_1930-02-13_A53","Edgar Anderson","petal width",1.5,"cm"
"373","1_1929-12-01","1_1929-12-01_A12","Edgar Anderson","sepal length",4.8,"cm"
"374","1_1929-12-01","1_1929-12-01_A12","Edgar Anderson","sepal width",3.4,"cm"
"375","1_1929-12-01","1_1929-12-01_A12","Edgar Anderson","petal length",1.6,"cm"
"376","1_1929-12-01","1_1929-12-01_A12","Edgar Anderson","petal width",0.2,"cm"
"377","1_1929-12-01","1_1929-12-01_A60","Edgar Anderson","sepal length",5.2,"cm"
"378","1_1929-12-01","1_1929-12-01_A60","Edgar Anderson","sepal width",2.7,"cm"
"379","1_1929-12-01","1_1929-12-01_A60","Edgar Anderson","petal length",3.9,"cm"
"380","1_1929-12-01","1_1929-12-01_A60","Edgar Anderson","petal width",1.4,"cm"
"381","1_1929-12-01","1_1929-12-01_A63","Edgar Anderson","sepal length",6,"cm"
"382","1_1929-12-01","1_1929-12-01_A63","Edgar Anderson","sepal width",2.2,"cm"
"383","1_1929-12-01","1_1929-12-01_A63","Edgar Anderson","petal length",4,"cm"
"384","1_1929-12-01","1_1929-12-01_A63","Edgar Anderson","petal width",1,"cm"
"385","1_1929-12-01","1_1929-12-01_A75","Edgar Anderson","sepal length",6.4,"cm"
"386","1_1929-12-01","1_1929-12-01_A75","Edgar Anderson","sepal width",2.9,"cm"
"387","1_1929-12-01","1_1929-12-01_A75","Edgar Anderson","petal length",4.3,"cm"
"388","1_1929-12-01","1_1929-12-01_A75","Edgar Anderson","petal width",1.3,"cm"
"389","1_1929-12-01","1_1929-12-01_A147","Edgar Anderson","sepal length",6.3,"cm"
"390","1_1929-12-01","1_1929-12-01_A147","Edgar Anderson","sepal width",2.5,"cm"
"391","1_1929-12-01","1_1929-12-01_A147","Edgar Anderson","petal length",5,"cm"
"392","1_1929-12-01","1_1929-12-01_A147","Edgar Anderson","petal width",1.9,"cm"
"393","1_1929-12-01","1_1929-12-01_A150","Edgar Anderson","sepal length",5.9,"cm"
"394","1_1929-12-01","1_1929-12-01_A150","Edgar Anderson","sepal width",3,"cm"
"395","1_1929-12-01","1_1929-12-01_A150","Edgar Anderson","petal length",5.1,"cm"
"396","1_1929-12-01","1_1929-12-01_A150","Edgar Anderson","petal width",1.8,"cm"
"397","1_1929-12-01","1_1929-12-01_A132","Edgar Anderson","sepal length",7.9,"cm"
"398","1_1929-12-01","1_1929-12-01_A132","Edgar Anderson","sepal width",3.8,"cm"
"399","1_1929-12-01","1_1929-12-01_A132","Edgar Anderson","petal length",6.4,"cm"
"400","1_1929-12-01","1_1929-12-01_A132","Edgar Anderson","petal width",2,"cm"
"401","1_1929-12-01","1_1929-12-01_A54","Edgar Anderson","sepal length",5.5,"cm"
"402","1_1929-12-01","1_1929-12-01_A54","Edgar Anderson","sepal width",2.3,"cm"
"403","1_1929-12-01","1_1929-12-01_A54","Edgar Anderson","petal length",4,"cm"
"404","1_1929-12-01","1_1929-12-01_A54","Edgar Anderson","petal width",1.3,"cm"
"405","1_1929-12-01","1_1929-12-01_A81","Edgar Anderson","sepal length",5.5,"cm"
"406","1_1929-12-01","1_1929-12-01_A81","Edgar Anderson","sepal width",2.4,"cm"
"407","1_1929-12-01","1_1929-12-01_A81","Edgar Anderson","petal length",3.8,"cm"
"408","1_1929-12-01","1_1929-12-01_A81","Edgar Anderson","petal width",1.1,"cm"
"409","1_1929-12-01","1_1929-12-01_A42","Edgar Anderson","sepal length",4.5,"cm"
"410","1_1929-12-01","1_1929-12-01_A42","Edgar Anderson","sepal width",2.3,"cm"
"411","1_1929-12-01","1_1929-12-01_A42","Edgar Anderson","petal length",1.3,"cm"
"412","1_1929-12-01","1_1929-12-01_A42","Edgar Anderson","petal width",0.3,"cm"
"413","1_1929-12-01","1_1929-12-01_A27","Edgar Anderson","sepal length",5,"cm"
"414","1_1929-12-01","1_1929-12-01_A27","Edgar Anderson","sepal width",3.4,"cm"
"415","1_1929-12-01","1_1929-12-01_A27","Edgar Anderson","petal length",1.6,"cm"
"416","1_1929-12-01","1_1929-12-01_A27","Edgar Anderson","petal width",0.4,"cm"
"417","1_1929-12-01","1_1929-12-01_A129","Edgar Anderson","sepal length",6.4,"cm"
"418","1_1929-12-01","1_1929-12-01_A129","Edgar Anderson","sepal width",2.8,"cm"
"419","1_1929-12-01","1_1929-12-01_A129","Edgar Anderson","petal length",5.6,"cm"
"420","1_1929-12-01","1_1929-12-01_A129","Edgar Anderson","petal width",2.1,"cm"
"421","1_1929-12-01","1_1929-12-01_A18","Edgar Anderson","sepal length",5.1,"cm"
"422","1_1929-12-01","1_1929-12-01_A18","Edgar Anderson","sepal width",3.5,"cm"
"423","1_1929-12-01","1_1929-12-01_A18","Edgar Anderson","petal length",1.4,"cm"
"424","1_1929-12-01","1_1929-12-01_A18","Edgar Anderson","petal width",0.3,"cm"
"425","1_1929-12-01","1_1929-12-01_A39","Edgar Anderson","sepal length",4.4,"cm"
"426","1_1929-12-01","1_1929-12-01_A39","Edgar Anderson","sepal width",3,"cm"
"427","1_1929-12-01","1_1929-12-01_A39","Edgar Anderson","petal length",1.3,"cm"
"428","1_1929-12-01","1_1929-12-01_A39","Edgar Anderson","petal width",0.2,"cm"
"429","1_1929-12-01","1_1929-12-01_A57","Edgar Anderson","sepal length",6.3,"cm"
"430","1_1929-12-01","1_1929-12-01_A57","Edgar Anderson","sepal width",3.3,"cm"
"431","1_1929-12-01","1_1929-12-01_A57","Edgar Anderson","petal length",4.7,"cm"
"432","1_1929-12-01","1_1929-12-01_A57","Edgar Anderson","petal width",1.6,"cm"
"433","1_1929-12-01","1_1929-12-01_A66","Edgar Anderson","sepal length",6.7,"cm"
"434","1_1929-12-01","1_1929-12-01_A66","Edgar Anderson","sepal width",3.1,"cm"
"435","1_1929-12-01","1_1929-12-01_A66","Edgar Anderson","petal length",4.4,"cm"
"436","1_1929-12-01","1_1929-12-01_A66","Edgar Anderson","petal width",1.4,"cm"
"437","1_1929-12-01","1_1929-12-01_A111","Edgar Anderson","sepal length",6.5,"cm"
"438","1_1929-12-01","1_1929-12-01_A111","Edgar Anderson","sepal width",3.2,"cm"
"439","1_1929-12-01","1_1929-12-01_A111","Edgar Anderson","petal length",5.1,"cm"
"440","1_1929-12-01","1_1929-12-01_A111","Edgar Anderson","petal width",2,"cm"
"441","1_1929-12-01","1_1929-12-01_A138","Edgar Anderson","sepal length",6.4,"cm"
"442","1_1929-12-01","1_1929-12-01_A138","Edgar Anderson","sepal width",3.1,"cm"
"443","1_1929-12-01","1_1929-12-01_A138","Edgar Anderson","petal length",5.5,"cm"
"444","1_1929-12-01","1_1929-12-01_A138","Edgar Anderson","petal width",1.8,"cm"
"445","1_1929-12-01","1_1929-12-01_A3","Edgar Anderson","sepal length",4.7,"cm"
"446","1_1929-12-01","1_1929-12-01_A3","Edgar Anderson","sepal width",3.2,"cm"
"447","1_1929-12-01","1_1929-12-01_A3","Edgar Anderson","petal length",1.3,"cm"
"448","1_1929-12-01","1_1929-12-01_A3","Edgar Anderson","petal width",0.2,"cm"
"449","1_1929-12-01","1_1929-12-01_A36","Edgar Anderson","sepal length",5,"cm"
"450","1_1929-12-01","1_1929-12-01_A36","Edgar Anderson","sepal width",3.2,"cm"
"451","1_1929-12-01","1_1929-12-01_A36","Edgar Anderson","petal length",1.2,"cm"
"452","1_1929-12-01","1_1929-12-01_A36","Edgar Anderson","petal width",0.2,"cm"
"453","1_1929-12-01","1_1929-12-01_A96","Edgar Anderson","sepal length",5.7,"cm"
"454","1_1929-12-01","1_1929-12-01_A96","Edgar Anderson","sepal width",3,"cm"
"455","1_1929-12-01","1_1929-12-01_A96","Edgar Anderson","petal length",4.2,"cm"
"456","1_1929-12-01","1_1929-12-01_A96","Edgar Anderson","petal width",1.2,"cm"
"457","1_1929-12-01","1_1929-12-01_A105","Edgar Anderson","sepal length",6.5,"cm"
"458","1_1929-12-01","1_1929-12-01_A105","Edgar Anderson","sepal width",3,"cm"
"459","1_1929-12-01","1_1929-12-01_A105","Edgar Anderson","petal length",5.8,"cm"
"460","1_1929-12-01","1_1929-12-01_A105","Edgar Anderson","petal width",2.2,"cm"
"461","1_1929-12-01","1_1929-12-01_A99","Edgar Anderson","sepal length",5.1,"cm"
"462","1_1929-12-01","1_1929-12-01_A99","Edgar Anderson","sepal width",2.5,"cm"
"463","1_1929-12-01","1_1929-12-01_A99","Edgar Anderson","petal length",3,"cm"
"464","1_1929-12-01","1_1929-12-01_A99","Edgar Anderson","petal width",1.1,"cm"
"465","1_1929-12-01","1_1929-12-01_A48","Edgar Anderson","sepal length",4.6,"cm"
"466","1_1929-12-01","1_1929-12-01_A48","Edgar Anderson","sepal width",3.2,"cm"
"467","1_1929-12-01","1_1929-12-01_A48","Edgar Anderson","petal length",1.4,"cm"
"468","1_1929-12-01","1_1929-12-01_A48","Edgar Anderson","petal width",0.2,"cm"
"469","1_1929-12-01","1_1929-12-01_A141","Edgar Anderson","sepal length",6.7,"cm"
"470","1_1929-12-01","1_1929-12-01_A141","Edgar Anderson","sepal width",3.1,"cm"
"471","1_1929-12-01","1_1929-12-01_A141","Edgar Anderson","petal length",5.6,"cm"
"472","1_1929-12-01","1_1929-12-01_A141","Edgar Anderson","petal width",2.4,"cm"
"473","1_1929-12-01","1_1929-12-01_A102","Edgar Anderson","sepal length",5.8,"cm"
"474","1_1929-12-01","1_1929-12-01_A102","Edgar Anderson","sepal width",2.7,"cm"
"475","1_1929-12-01","1_1929-12-01_A102","Edgar Anderson","petal length",5.1,"cm"
"476","1_1929-12-01","1_1929-12-01_A102","Edgar Anderson","petal width",1.9,"cm"
"477","1_1929-12-01","1_1929-12-01_A24","Edgar Anderson","sepal length",5.1,"cm"
"478","1_1929-12-01","1_1929-12-01_A24","Edgar Anderson","sepal width",3.3,"cm"
"479","1_1929-12-01","1_1929-12-01_A24","Edgar Anderson","petal length",1.7,"cm"
"480","1_1929-12-01","1_1929-12-01_A24","Edgar Anderson","petal width",0.5,"cm"
"481","1_1929-12-01","1_1929-12-01_A45","Edgar Anderson","sepal length",5.1,"cm"
"482","1_1929-12-01","1_1929-12-01_A45","Edgar Anderson","sepal width",3.8,"cm"
"483","1_1929-12-01","1_1929-12-01_A45","Edgar Anderson","petal length",1.7,"cm"
"484","1_1929-12-01","1_1929-12-01_A45","Edgar Anderson","petal width",0.4,"cm"
"485","1_1929-12-01","1_1929-12-01_A117","Edgar Anderson","sepal length",6.5,"cm"
"486","1_1929-12-01","1_1929-12-01_A117","Edgar Anderson","sepal width",3,"cm"
"487","1_1929-12-01","1_1929-12-01_A117","Edgar Anderson","petal length",5.5,"cm"
"488","1_1929-12-01","1_1929-12-01_A117","Edgar Anderson","petal width",1.8,"cm"
"489","1_1929-12-01","1_1929-12-01_A120","Edgar Anderson","sepal length",6,"cm"
"490","1_1929-12-01","1_1929-12-01_A120","Edgar Anderson","sepal width",2.2,"cm"
"491","1_1929-12-01","1_1929-12-01_A120","Edgar Anderson","petal length",5,"cm"
"492","1_1929-12-01","1_1929-12-01_A120","Edgar Anderson","petal width",1.5,"cm"
"493","1_1929-12-01","1_1929-12-01_A30","Edgar Anderson","sepal length",4.7,"cm"
"494","1_1929-12-01","1_1929-12-01_A30","Edgar Anderson","sepal width",3.2,"cm"
"495","1_1929-12-01","1_1929-12-01_A30","Edgar Anderson","petal length",1.6,"cm"
"496","1_1929-12-01","1_1929-12-01_A30","Edgar Anderson","petal width",0.2,"cm"
"497","1_1929-12-01","1_1929-12-01_A84","Edgar Anderson","sepal length",6,"cm"
"498","1_1929-12-01","1_1929-12-01_A84","Edgar Anderson","sepal width",2.7,"cm"
"499","1_1929-12-01","1_1929-12-01_A84","Edgar Anderson","petal length",5.1,"cm"
"500","1_1929-12-01","1_1929-12-01_A84","Edgar Anderson","petal width",1.6,"cm"
"501","1_1929-12-01","1_1929-12-01_A33","Edgar Anderson","sepal length",5.2,"cm"
"502","1_1929-12-01","1_1929-12-01_A33","Edgar Anderson","sepal width",4.1,"cm"
"503","1_1929-12-01","1_1929-12-01_A33","Edgar Anderson","petal length",1.5,"cm"
"504","1_1929-12-01","1_1929-12-01_A33","Edgar Anderson","petal width",0.1,"cm"
"505","1_1929-12-01","1_1929-12-01_A9","Edgar Anderson","sepal length",4.4,"cm"
"506","1_1929-12-01","1_1929-12-01_A9","Edgar Anderson","sepal width",2.9,"cm"
"507","1_1929-12-01","1_1929-12-01_A9","Edgar Anderson","petal length",1.4,"cm"
"508","1_1929-12-01","1_1929-12-01_A9","Edgar Anderson","petal width",0.2,"cm"
"509","1_1929-12-01","1_1929-12-01_A87","Edgar Anderson","sepal length",6.7,"cm"
"510","1_1929-12-01","1_1929-12-01_A87","Edgar Anderson","sepal width",3.1,"cm"
"511","1_1929-12-01","1_1929-12-01_A87","Edgar Anderson","petal length",4.7,"cm"
"512","1_1929-12-01","1_1929-12-01_A87","Edgar Anderson","petal width",1.5,"cm"
"513","1_1929-12-01","1_1929-12-01_A15","Edgar Anderson","sepal length",5.8,"cm"
"514","1_1929-12-01","1_1929-12-01_A15","Edgar Anderson","sepal width",4,"cm"
"515","1_1929-12-01","1_1929-12-01_A15","Edgar Anderson","petal length",1.2,"cm"
"516","1_1929-12-01","1_1929-12-01_A15","Edgar Anderson","petal width",0.2,"cm"
"517","1_1929-12-01","1_1929-12-01_A21","Edgar Anderson","sepal length",5.4,"cm"
"518","1_1929-12-01","1_1929-12-01_A21","Edgar Anderson","sepal width",3.4,"cm"
"519","1_1929-12-01","1_1929-12-01_A21","Edgar Anderson","petal length",1.7,"cm"
"520","1_1929-12-01","1_1929-12-01_A21","Edgar Anderson","petal width",0.2,"cm"
"521","1_1929-12-01","1_1929-12-01_A69","Edgar Anderson","sepal length",6.2,"cm"
"522","1_1929-12-01","1_1929-12-01_A69","Edgar Anderson","sepal width",2.2,"cm"
"523","1_1929-12-01","1_1929-12-01_A69","Edgar Anderson","petal length",4.5,"cm"
"524","1_1929-12-01","1_1929-12-01_A69","Edgar Anderson","petal width",1.5,"cm"
"525","1_1929-12-01","1_1929-12-01_A108","Edgar Anderson","sepal length",7.3,"cm"
"526","1_1929-12-01","1_1929-12-01_A108","Edgar Anderson","sepal width",2.9,"cm"
"527","1_1929-12-01","1_1929-12-01_A108","Edgar Anderson","petal length",6.3,"cm"
"528","1_1929-12-01","1_1929-12-01_A108","Edgar Anderson","petal width",1.8,"cm"
"529","1_1929-12-01","1_1929-12-01_A135","Edgar Anderson","sepal length",6.1,"cm"
"530","1_1929-12-01","1_1929-12-01_A135","Edgar Anderson","sepal width",2.6,"cm"
"531","1_1929-12-01","1_1929-12-01_A135","Edgar Anderson","petal length",5.6,"cm"
"532","1_1929-12-01","1_1929-12-01_A135","Edgar Anderson","petal width",1.4,"cm"
"533","1_1929-12-01","1_1929-12-01_A144","Edgar Anderson","sepal length",6.8,"cm"
"534","1_1929-12-01","1_1929-12-01_A144","Edgar Anderson","sepal width",3.2,"cm"
"535","1_1929-12-01","1_1929-12-01_A144","Edgar Anderson","petal length",5.9,"cm"
"536","1_1929-12-01","1_1929-12-01_A144","Edgar Anderson","petal width",2.3,"cm"
"537","1_1929-12-01","1_1929-12-01_A78","Edgar Anderson","sepal length",6.7,"cm"
"538","1_1929-12-01","1_1929-12-01_A78","Edgar Anderson","sepal width",3,"cm"
"539","1_1929-12-01","1_1929-12-01_A78","Edgar Anderson","petal length",5,"cm"
"540","1_1929-12-01","1_1929-12-01_A78","Edgar Anderson","petal width",1.7,"cm"
